Record Date,Statement Fiscal Year,Restatement Flag,Agency Name,Gross Cost (in Billions),Earned Revenue (in Billions),Subtotal (in Billions),Change in Assumptions (in Billions),Net Cost (in Billions),Fiscal Year,Calendar Year
2019-09-30,2018,Y,Department of Health and Human Services,1252.6,110.5,1142.1,0.4,1142.5,2019,2019
2019-09-30,2018,Y,Social Security Administration,1038.5,0.2,1038.3,null,1038.3,2019,2019
2019-09-30,2018,Y,Department of Defense,719.8,38.2,681.6,16.8,698.4,2019,2019
2019-09-30,2018,Y,Department of Veterans Affairs,272.5,4.8,267.7,79.2,346.9,2019,2019
2019-09-30,2018,Y,Interest on Treasury Securities Held by the Public,357.3,null,357.3,null,357.3,2019,2019
2019-09-30,2018,Y,Department of the Treasury,150.5,21.9,128.6,null,128.6,2019,2019
2019-09-30,2018,Y,Department of Agriculture,137,6.6,130.4,null,130.4,2019,2019
2019-09-30,2018,Y,Department of Education,79.2,31.4,47.8,null,47.8,2019,2019
2019-09-30,2018,Y,Office of Personnel Management,101.3,23.4,77.9,26.2,104.1,2019,2019
2019-09-30,2018,Y,Department of Transportation,79,1.1,77.9,null,77.9,2019,2019
2019-09-30,2018,Y,Department of Homeland Security,78.3,14.8,63.5,1.1,64.6,2019,2019
2019-09-30,2018,Y,Department of Energy,147,6.1,140.9,null,140.9,2019,2019
2019-09-30,2018,Y,Department of Labor,41.1,null,41.1,null,41.1,2019,2019
2019-09-30,2018,Y,Security Assistance Accounts,37.9,null,37.9,null,37.9,2019,2019
2019-09-30,2018,Y,Department of Justice,35.4,1.9,33.5,null,33.5,2019,2019
2019-09-30,2018,Y,Department of State,32.3,4.8,27.5,1.5,29,2019,2019
2019-09-30,2018,Y,Department of Housing and Urban Development,43.3,1.8,41.5,null,41.5,2019,2019
2019-09-30,2018,Y,National Aeronautics and Space Administration,20.3,0.2,20.1,null,20.1,2019,2019
2019-09-30,2018,Y,Department of the Interior,20.4,2.9,17.5,null,17.5,2019,2019
2019-09-30,2018,Y,U.S. Agency for International Development,13.1,null,13.1,null,13.1,2019,2019
2019-09-30,2018,Y,Railroad Retirement Board,13.1,null,13.1,null,13.1,2019,2019
2019-09-30,2018,Y,Federal Communications Commission,10.8,0.4,10.4,null,10.4,2019,2019
2019-09-30,2018,Y,Department of Commerce,11.8,3.6,8.2,null,8.2,2019,2019
2019-09-30,2018,Y,Environmental Protection Agency,8.3,0.4,7.9,null,7.9,2019,2019
2019-09-30,2018,Y,Pension Benefit Guaranty Corporation,-7.8,16.7,-24.5,null,-24.5,2019,2019
2019-09-30,2018,Y,National Science Foundation,7.3,null,7.3,null,7.3,2019,2019
2019-09-30,2018,Y,U.S. Postal Service,71.4,69.7,1.7,null,1.7,2019,2019
2019-09-30,2018,Y,Smithsonian Institution,1.5,0.5,1,null,1,2019,2019
2019-09-30,2018,Y,Millennium Challenge Corporation,0.8,null,0.8,null,0.8,2019,2019
2019-09-30,2018,Y,National Credit Union Administration,0.9,0.6,0.3,null,0.3,2019,2019
2019-09-30,2018,Y,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,null,0.2,2019,2019
2019-09-30,2018,Y,Farm Credit System Insurance Corporation,0.2,0.2,null,null,null,2019,2019
2019-09-30,2018,Y,Small Business Administration,0.7,0.3,0.4,null,0.4,2019,2019
2019-09-30,2018,Y,Overseas Private Investment Corporation,null,0.1,-0.1,null,-0.1,2019,2019
2019-09-30,2018,Y,Securities and Exchange Commission,1.8,2.3,-0.5,null,-0.5,2019,2019
2019-09-30,2018,Y,National Railroad Retirement Investment Trust,0.1,1.9,-1.8,null,-1.8,2019,2019
2019-09-30,2018,Y,Export-Import Bank of the U.S.,null,0.5,-0.5,null,-0.5,2019,2019
2019-09-30,2018,Y,General Services Administration,null,0.8,-0.8,null,-0.8,2019,2019
2019-09-30,2018,Y,Tennessee Valley Authority,9.9,11.2,-1.3,null,-1.3,2019,2019
2019-09-30,2018,Y,Federal Deposit Insurance Corporation,1.3,10.8,-9.5,null,-9.5,2019,2019
2019-09-30,2018,Y,All other entities,18.7,1.5,17.2,null,17.2,2019,2019
2019-09-30,2018,Y,Total,4808.5,392.8,4415.7,125.2,4540.9,2019,2019
2018-09-30,2018,N,Department of Health and Human Services,1252.6,110.5,1142.1,0.4,1142.5,2018,2018
2018-09-30,2018,N,Social Security Administration,1038.5,0.2,1038.3,null,1038.3,2018,2018
2018-09-30,2018,N,Department of Defense,719.8,38.2,681.6,16.8,698.4,2018,2018
2018-09-30,2018,N,Interest on Treasury Securities Held by the Public,357.3,null,357.3,null,357.3,2018,2018
2018-09-30,2018,N,Department of Veterans Affairs,272.5,4.8,267.7,79.2,346.9,2018,2018
2018-09-30,2018,N,Department of Energy,147,6.1,140.9,null,140.9,2018,2018
2018-09-30,2018,N,Department of Agriculture,137,6.6,130.4,null,130.4,2018,2018
2018-09-30,2018,N,Department of the Treasury,150.5,21.9,128.6,null,128.6,2018,2018
2018-09-30,2018,N,Office of Personnel Management,101.3,23.4,77.9,26.2,104.1,2018,2018
2018-09-30,2018,N,Department of Transportation,79,1.1,77.9,null,77.9,2018,2018
2018-09-30,2018,N,Department of Homeland Security,78.3,14.8,63.5,1.1,64.6,2018,2018
2018-09-30,2018,N,Department of Education,79.2,31.4,47.8,null,47.8,2018,2018
2018-09-30,2018,N,Department of Housing and Urban Development,43.3,1.8,41.5,null,41.5,2018,2018
2018-09-30,2018,N,Department of Labor,41.1,null,41.1,null,41.1,2018,2018
2018-09-30,2018,N,Security Assistance Accounts,37.9,null,37.9,null,37.9,2018,2018
2018-09-30,2018,N,Department of Justice,35.4,1.9,33.5,null,33.5,2018,2018
2018-09-30,2018,N,Department of State,32.3,4.8,27.5,1.5,29,2018,2018
2018-09-30,2018,N,National Aeronautics and Space Administration,20.3,0.2,20.1,null,20.1,2018,2018
2018-09-30,2018,N,Department of the Interior,20.4,2.9,17.5,null,17.5,2018,2018
2018-09-30,2018,N,U.S. Agency for International Development,13.1,null,13.1,null,13.1,2018,2018
2018-09-30,2018,N,Railroad Retirement Board,13.1,null,13.1,null,13.1,2018,2018
2018-09-30,2018,N,Federal Communications Commission,10.8,0.4,10.4,null,10.4,2018,2018
2018-09-30,2018,N,Department of Commerce,11.8,3.6,8.2,null,8.2,2018,2018
2018-09-30,2018,N,Environmental Protection Agency,8.3,0.4,7.9,null,7.9,2018,2018
2018-09-30,2018,N,National Science Foundation,7.3,null,7.3,null,7.3,2018,2018
2018-09-30,2018,N,U.S. Postal Service,71.4,69.7,1.7,null,1.7,2018,2018
2018-09-30,2018,N,Smithsonian Institution,1.5,0.5,1,null,1,2018,2018
2018-09-30,2018,N,Millennium Challenge Corporation,0.8,null,0.8,null,0.8,2018,2018
2018-09-30,2018,N,Small Business Administration,0.7,0.3,0.4,null,0.4,2018,2018
2018-09-30,2018,N,National Credit Union Administration,0.9,0.6,0.3,null,0.3,2018,2018
2018-09-30,2018,N,U.S. Nuclear Regulatory Commission,0.9,0.7,0.2,null,0.2,2018,2018
2018-09-30,2018,N,Farm Credit System Insurance Corporation,0.2,0.2,null,null,null,2018,2018
2018-09-30,2018,N,Overseas Private Investment Corporation,null,0.1,-0.1,null,-0.1,2018,2018
2018-09-30,2018,N,Export-Import Bank of the U.S.,null,0.5,-0.5,null,-0.5,2018,2018
2018-09-30,2018,N,Securities and Exchange Commission,1.8,2.3,-0.5,null,-0.5,2018,2018
2018-09-30,2018,N,General Services Administration,null,0.8,-0.8,null,-0.8,2018,2018
2018-09-30,2018,N,Tennessee Valley Authority,9.9,11.2,-1.3,null,-1.3,2018,2018
2018-09-30,2018,N,National Railroad Retirement Investment Trust,0.1,1.9,-1.8,null,-1.8,2018,2018
2018-09-30,2018,N,Federal Deposit Insurance Corporation,1.3,10.8,-9.5,null,-9.5,2018,2018
2018-09-30,2018,N,Pension Benefit Guaranty Corporation,-7.8,16.7,-24.5,null,-24.5,2018,2018
2018-09-30,2018,N,All other entities,18.7,1.5,17.2,null,17.2,2018,2018
2018-09-30,2018,N,Total,4808.5,392.8,4415.7,125.2,4540.9,2018,2018
2018-09-30,2017,Y,Department of Health and Human Services,1186.8,101.1,1085.7,0.4,1086.1,2018,2018
2018-09-30,2017,Y,Social Security Administration,999.1,0.3,998.8,null,998.8,2018,2018
2018-09-30,2017,Y,Department of Defense,718.7,77.4,641.3,24.1,665.4,2018,2018
2018-09-30,2017,Y,Interest on Treasury Securities Held by the Public,296.3,null,296.3,null,296.3,2018,2018
2018-09-30,2017,Y,Department of Veterans Affairs,254.8,4.8,250,229.7,479.7,2018,2018
2018-09-30,2017,Y,Department of Energy,46.9,5.6,41.3,null,41.3,2018,2018
2018-09-30,2017,Y,Department of Agriculture,142.9,8.1,134.8,null,134.8,2018,2018
2018-09-30,2017,Y,Department of the Treasury,179.5,37.9,141.6,null,141.6,2018,2018
2018-09-30,2017,Y,Office of Personnel Management,90.1,22.3,67.8,102.5,170.3,2018,2018
2018-09-30,2017,Y,Department of Transportation,79.6,0.9,78.7,null,78.7,2018,2018
2018-09-30,2017,Y,Department of Homeland Security,77.3,12.3,65,-0.5,64.5,2018,2018
2018-09-30,2017,Y,Department of Education,84.4,30.6,53.8,null,53.8,2018,2018
2018-09-30,2017,Y,Department of Housing and Urban Development,69.1,1.7,67.4,null,67.4,2018,2018
2018-09-30,2017,Y,Department of Labor,43.5,null,43.5,null,43.5,2018,2018
2018-09-30,2017,Y,Security Assistance Accounts,36.7,null,36.7,null,36.7,2018,2018
2018-09-30,2017,Y,Department of Justice,34.2,1.6,32.6,null,32.6,2018,2018
2018-09-30,2017,Y,Department of State,31.3,4.8,26.5,0.3,26.8,2018,2018
2018-09-30,2017,Y,National Aeronautics and Space Administration,19.6,0.2,19.4,null,19.4,2018,2018
2018-09-30,2017,Y,Department of the Interior,20.2,2.7,17.5,null,17.5,2018,2018
2018-09-30,2017,Y,U.S. Agency for International Development,13.2,null,13.2,null,13.2,2018,2018
2018-09-30,2017,Y,Railroad Retirement Board,13,3.8,9.2,null,9.2,2018,2018
2018-09-30,2017,Y,Federal Communications Commission,20.7,0.4,20.3,null,20.3,2018,2018
2018-09-30,2017,Y,Department of Commerce,12.9,3.3,9.6,null,9.6,2018,2018
2018-09-30,2017,Y,Environmental Protection Agency,8.8,0.4,8.4,null,8.4,2018,2018
2018-09-30,2017,Y,National Science Foundation,7.1,null,7.1,null,7.1,2018,2018
2018-09-30,2017,Y,U.S. Postal Service,71.9,68.7,3.2,null,3.2,2018,2018
2018-09-30,2017,Y,Smithsonian Institution,0.9,null,0.9,null,0.9,2018,2018
2018-09-30,2017,Y,Millennium Challenge Corporation,0.7,null,0.7,null,0.7,2018,2018
2018-09-30,2017,Y,Small Business Administration,0.1,0.3,-0.2,null,-0.2,2018,2018
2018-09-30,2017,Y,National Credit Union Administration,-0.1,0.7,-0.8,null,-0.8,2018,2018
2018-09-30,2017,Y,U.S. Nuclear Regulatory Commission,0.9,0.8,0.1,null,0.1,2018,2018
2018-09-30,2017,Y,Farm Credit System Insurance Corporation,null,0.4,-0.4,null,-0.4,2018,2018
2018-09-30,2017,Y,Overseas Private Investment Corporation,null,0.1,-0.1,null,-0.1,2018,2018
2018-09-30,2017,Y,Export-Import Bank of the U.S.,0.4,1.2,-0.8,null,-0.8,2018,2018
2018-09-30,2017,Y,Securities and Exchange Commission,1.9,2.1,-0.2,null,-0.2,2018,2018
2018-09-30,2017,Y,General Services Administration,0.2,0.6,-0.4,null,-0.4,2018,2018
2018-09-30,2017,Y,Tennessee Valley Authority,9.9,10.7,-0.8,null,-0.8,2018,2018
2018-09-30,2017,Y,Federal Deposit Insurance Corporation,1.5,10.6,-9.1,null,-9.1,2018,2018
2018-09-30,2017,Y,Pension Benefit Guaranty Corporation,9.8,14.1,-4.3,null,-4.3,2018,2018
2018-09-30,2017,Y,All other entities,21.4,1.4,20,null,20,2018,2018
2018-09-30,2017,Y,Total,4606.2,431.9,4174.3,356.5,4530.8,2018,2018
2017-09-30,2017,N,Department of Health and Human Services,1186.8,101.1,1085.7,0.4,1086.1,2017,2017
2017-09-30,2017,N,Social Security Administration,999.1,0.3,998.8,null,998.8,2017,2017
2017-09-30,2017,N,Department of Defense,718.7,77.4,641.3,24.1,665.4,2017,2017
2017-09-30,2017,N,Department of Veterans Affairs,254.8,4.8,250,229.7,479.7,2017,2017
2017-09-30,2017,N,Interest on Treasury Securities Held by the Public,296.3,null,296.3,null,296.3,2017,2017
2017-09-30,2017,N,Office of Personnel Management,90.1,22.3,67.8,102.5,170.3,2017,2017
2017-09-30,2017,N,Department of the Treasury,179.5,37.9,141.6,null,141.6,2017,2017
2017-09-30,2017,N,Department of Agriculture,142.9,8.1,134.8,null,134.8,2017,2017
2017-09-30,2017,N,Department of Transportation,79.6,0.9,78.7,null,78.7,2017,2017
2017-09-30,2017,N,Department of Housing and Urban Development,70.9,1.7,69.2,null,69.2,2017,2017
2017-09-30,2017,N,Department of Homeland Security,77.3,12.3,65,-0.5,64.5,2017,2017
2017-09-30,2017,N,Department of Education,84.4,30.6,53.8,null,53.8,2017,2017
2017-09-30,2017,N,Department of Labor,43.5,null,43.5,null,43.5,2017,2017
2017-09-30,2017,N,Department of Energy,46.9,5.6,41.3,null,41.3,2017,2017
2017-09-30,2017,N,Defense Security Cooperation Agency,36.7,null,36.7,null,36.7,2017,2017
2017-09-30,2017,N,Department of Justice,34.2,1.6,32.6,null,32.6,2017,2017
2017-09-30,2017,N,Department of State,31.3,4.8,26.5,0.3,26.8,2017,2017
2017-09-30,2017,N,Federal Communications Commission,20.7,0.4,20.3,null,20.3,2017,2017
2017-09-30,2017,N,National Aeronautics and Space Administration,19.6,0.2,19.4,null,19.4,2017,2017
2017-09-30,2017,N,Department of the Interior,20.2,2.7,17.5,null,17.5,2017,2017
2017-09-30,2017,N,U.S. Agency for International Development,13.2,null,13.2,null,13.2,2017,2017
2017-09-30,2017,N,Department of Commerce,12.9,3.3,9.6,null,9.6,2017,2017
2017-09-30,2017,N,Railroad Retirement Board,13,3.8,9.2,null,9.2,2017,2017
2017-09-30,2017,N,Environmental Protection Agency,8.8,0.4,8.4,null,8.4,2017,2017
2017-09-30,2017,N,National Science Foundation,7.1,null,7.1,null,7.1,2017,2017
2017-09-30,2017,N,U.S. Postal Service,71.9,68.7,3.2,null,3.2,2017,2017
2017-09-30,2017,N,Smithsonian Institution,0.9,null,0.9,null,0.9,2017,2017
2017-09-30,2017,N,Millennium Challenge Corporation,0.7,null,0.7,null,0.7,2017,2017
2017-09-30,2017,N,U.S. Nuclear Regulatory Commission,0.9,0.8,0.1,null,0.1,2017,2017
2017-09-30,2017,N,Overseas Private Investment Corporation,null,0.1,-0.1,null,-0.1,2017,2017
2017-09-30,2017,N,Securities and Exchange Commission,1.9,2.1,-0.2,null,-0.2,2017,2017
2017-09-30,2017,N,Small Business Administration,0.1,0.3,-0.2,null,-0.2,2017,2017
2017-09-30,2017,N,Farm Credit System Insurance Corporation,null,0.4,-0.4,null,-0.4,2017,2017
2017-09-30,2017,N,General Services Administration,0.2,0.6,-0.4,null,-0.4,2017,2017
2017-09-30,2017,N,National Credit Union Administration,-0.1,0.7,-0.8,null,-0.8,2017,2017
2017-09-30,2017,N,Tennessee Valley Authority,9.9,10.7,-0.8,null,-0.8,2017,2017
2017-09-30,2017,N,Export-Import Bank of the United States,0.4,1.2,-0.8,null,-0.8,2017,2017
2017-09-30,2017,N,Pension Benefit Guaranty Corporation,9.8,14.1,-4.3,null,-4.3,2017,2017
2017-09-30,2017,N,Federal Deposit Insurance Corporation,1.5,10.6,-9.1,null,-9.1,2017,2017
2017-09-30,2017,N,All other entities,22.7,1.4,21.3,null,21.3,2017,2017
2017-09-30,2017,N,Total,4609.3,431.9,4177.4,356.5,4533.9,2017,2017
2017-09-30,2016,Y,Department of Health and Human Services,1170,96.1,1073.9,0.4,1074.3,2017,2017
2017-09-30,2016,Y,Social Security Administration,982.1,0.3,981.8,null,981.8,2017,2017
2017-09-30,2016,Y,Department of Defense,721.9,55.1,666.8,-57.6,609.2,2017,2017
2017-09-30,2016,Y,Department of Veterans Affairs,276.5,4.9,271.6,377.5,649.1,2017,2017
2017-09-30,2016,Y,Interest on Treasury Securities Held by the Public,273,null,273,null,273,2017,2017
2017-09-30,2016,Y,Office of Personnel Management,60.2,21.3,38.9,-47.1,-8.2,2017,2017
2017-09-30,2016,Y,Department of the Treasury,148.7,19.4,129.3,null,129.3,2017,2017
2017-09-30,2016,Y,Department of Agriculture,142.1,8.5,133.6,null,133.6,2017,2017
2017-09-30,2016,Y,Department of Transportation,80.7,0.9,79.8,null,79.8,2017,2017
2017-09-30,2016,Y,Department of Housing and Urban Development,31.2,1.7,29.5,null,29.5,2017,2017
2017-09-30,2016,Y,Department of Homeland Security,66.5,13.1,53.4,0.2,53.6,2017,2017
2017-09-30,2016,Y,Department of Education,103.1,29.9,73.2,null,73.2,2017,2017
2017-09-30,2016,Y,Department of Labor,46.4,null,46.4,null,46.4,2017,2017
2017-09-30,2016,Y,Department of Energy,68.6,4.3,64.3,null,64.3,2017,2017
2017-09-30,2016,Y,Defense Security Cooperation Agency,36,null,36,null,36,2017,2017
2017-09-30,2016,Y,Department of Justice,38.7,1.6,37.1,null,37.1,2017,2017
2017-09-30,2016,Y,Department of State,32.6,4.7,27.9,-0.1,27.8,2017,2017
2017-09-30,2016,Y,Federal Communications Commission,10.4,0.5,9.9,null,9.9,2017,2017
2017-09-30,2016,Y,National Aeronautics and Space Administration,20,0.2,19.8,null,19.8,2017,2017
2017-09-30,2016,Y,Department of the Interior,19.2,2.5,16.7,null,16.7,2017,2017
2017-09-30,2016,Y,U.S. Agency for International Development,12.6,null,12.6,null,12.6,2017,2017
2017-09-30,2016,Y,Department of Commerce,12.5,3.3,9.2,null,9.2,2017,2017
2017-09-30,2016,Y,Railroad Retirement Board,15.3,3.9,11.4,null,11.4,2017,2017
2017-09-30,2016,Y,Environmental Protection Agency,9,0.4,8.6,null,8.6,2017,2017
2017-09-30,2016,Y,National Science Foundation,7,null,7,null,7,2017,2017
2017-09-30,2016,Y,U.S. Postal Service,77.2,70.4,6.8,null,6.8,2017,2017
2017-09-30,2016,Y,Smithsonian Institution,0.8,null,0.8,null,0.8,2017,2017
2017-09-30,2016,Y,Millennium Challenge Corporation,0.6,null,0.6,null,0.6,2017,2017
2017-09-30,2016,Y,U.S. Nuclear Regulatory Commission,0.9,0.8,0.1,null,0.1,2017,2017
2017-09-30,2016,Y,Overseas Private Investment Corporation,null,0.1,-0.1,null,-0.1,2017,2017
2017-09-30,2016,Y,Securities and Exchange Commission,1.7,2,-0.3,null,-0.3,2017,2017
2017-09-30,2016,Y,Small Business Administration,0.5,0.3,0.2,null,0.2,2017,2017
2017-09-30,2016,Y,Farm Credit System Insurance Corporation,null,0.3,-0.3,null,-0.3,2017,2017
2017-09-30,2016,Y,General Services Administration,0.6,0.7,-0.1,null,-0.1,2017,2017
2017-09-30,2016,Y,National Credit Union Administration,-0.7,0.1,-0.8,null,-0.8,2017,2017
2017-09-30,2016,Y,Tennessee Valley Authority,9.3,10.6,-1.3,null,-1.3,2017,2017
2017-09-30,2016,Y,Export-Import Bank of the United States,-0.2,1.2,-1.4,null,-1.4,2017,2017
2017-09-30,2016,Y,Pension Benefit Guaranty Corporation,19.4,14,5.4,null,5.4,2017,2017
2017-09-30,2016,Y,Federal Deposit Insurance Corporation,0.2,9.5,-9.3,null,-9.3,2017,2017
2017-09-30,2016,Y,All other entities,21.1,1.3,19.8,null,19.8,2017,2017
2017-09-30,2016,Y,Total,4515.7,383.9,4131.8,273.3,4405.1,2017,2017
2016-09-30,2016,N,Department of Health and Human Services,1170,96.1,1073.9,0.4,1074.3,2016,2016
2016-09-30,2016,N,Social Security Administration,982.1,0.3,981.8,null,981.8,2016,2016
2016-09-30,2016,N,Department of Veterans Affairs,276.5,4.9,271.6,377.5,649.1,2016,2016
2016-09-30,2016,N,Department of Defense,721.9,55.1,666.8,-57.6,609.2,2016,2016
2016-09-30,2016,N,Interest on Treasury Securities Held by the Public,273,null,273,null,273,2016,2016
2016-09-30,2016,N,Department of Agriculture,142.1,8.5,133.6,null,133.6,2016,2016
2016-09-30,2016,N,Department of the Treasury,148.7,19.4,129.3,null,129.3,2016,2016
2016-09-30,2016,N,Department of Transportation,80.7,0.9,79.8,null,79.8,2016,2016
2016-09-30,2016,N,Department of Education,103.1,29.9,73.2,null,73.2,2016,2016
2016-09-30,2016,N,Department of Energy,68.6,4.3,64.3,null,64.3,2016,2016
2016-09-30,2016,N,Department of Homeland Security,66.5,13.1,53.4,0.2,53.6,2016,2016
2016-09-30,2016,N,Department of Labor,46.4,null,46.4,null,46.4,2016,2016
2016-09-30,2016,N,Department of Justice,38.7,1.6,37.1,null,37.1,2016,2016
2016-09-30,2016,N,Defense Security Cooperation Agency,36,null,36,null,36,2016,2016
2016-09-30,2016,N,Department of Housing and Urban Development,31.2,1.7,29.5,null,29.5,2016,2016
2016-09-30,2016,N,Department of State,32.6,4.7,27.9,-0.1,27.8,2016,2016
2016-09-30,2016,N,National Aeronautics and Space Administration,20,0.2,19.8,null,19.8,2016,2016
2016-09-30,2016,N,Department of the Interior,19.2,2.5,16.7,null,16.7,2016,2016
2016-09-30,2016,N,U.S. Agency for International Development,12.6,null,12.6,null,12.6,2016,2016
2016-09-30,2016,N,Railroad Retirement Board,15.3,3.9,11.4,null,11.4,2016,2016
2016-09-30,2016,N,Federal Communications Commission,10.4,0.5,9.9,null,9.9,2016,2016
2016-09-30,2016,N,Department of Commerce,12.5,3.3,9.2,null,9.2,2016,2016
2016-09-30,2016,N,Environmental Protection Agency,9,0.4,8.6,null,8.6,2016,2016
2016-09-30,2016,N,National Science Foundation,7,null,7,null,7,2016,2016
2016-09-30,2016,N,U.S. Postal Service,77.2,70.4,6.8,null,6.8,2016,2016
2016-09-30,2016,N,Pension Benefit Guaranty Corporation,11.4,6.7,4.7,null,4.7,2016,2016
2016-09-30,2016,N,Smithsonian Institution,0.8,null,0.8,null,0.8,2016,2016
2016-09-30,2016,N,Millennium Challenge Corporation,0.6,null,0.6,null,0.6,2016,2016
2016-09-30,2016,N,Small Business Administration,0.5,0.3,0.2,null,0.2,2016,2016
2016-09-30,2016,N,U.S. Nuclear Regulatory Commission,0.9,0.8,0.1,null,0.1,2016,2016
2016-09-30,2016,N,General Services Administration,0.6,0.7,-0.1,null,-0.1,2016,2016
2016-09-30,2016,N,Overseas Private Investment Corporation,null,0.1,-0.1,null,-0.1,2016,2016
2016-09-30,2016,N,Securities and Exchange Commission,1.7,2,-0.3,null,-0.3,2016,2016
2016-09-30,2016,N,Farm Credit System Insurance Corporation,null,0.3,-0.3,null,-0.3,2016,2016
2016-09-30,2016,N,National Credit Union Administration,-0.7,0.1,-0.8,null,-0.8,2016,2016
2016-09-30,2016,N,Tennessee Valley Authority,9.3,10.6,-1.3,null,-1.3,2016,2016
2016-09-30,2016,N,Export-Import Bank of the United States,-0.2,1.2,-1.4,null,-1.4,2016,2016
2016-09-30,2016,N,Office of Personnel Management,60.2,21.3,38.9,-47.1,-8.2,2016,2016
2016-09-30,2016,N,Federal Deposit Insurance Corporation,0.2,9.5,-9.3,null,-9.3,2016,2016
2016-09-30,2016,N,All other entities,21.1,1.3,19.8,null,19.8,2016,2016
2016-09-30,2016,N,Total,4507.7,376.6,4131.1,273.3,4404.4,2016,2016
2016-09-30,2015,Y,Department of Health and Human Services,1130.9,101.3,1029.6,-0.1,1029.5,2016,2016
2016-09-30,2015,Y,Social Security Administration,945,0.3,944.7,null,944.7,2016,2016
2016-09-30,2015,Y,Department of Veterans Affairs,193.1,4.8,188.3,-13,175.3,2016,2016
2016-09-30,2015,Y,Department of Defense,634.9,45.5,589.4,-27.5,561.9,2016,2016
2016-09-30,2015,Y,Interest on Treasury Securities Held by the Public,250.8,null,250.8,null,250.8,2016,2016
2016-09-30,2015,Y,Department of Agriculture,147.7,9.1,138.6,null,138.6,2016,2016
2016-09-30,2015,Y,Department of the Treasury,146,29.3,116.7,null,116.7,2016,2016
2016-09-30,2015,Y,Department of Transportation,76.1,0.8,75.3,null,75.3,2016,2016
2016-09-30,2015,Y,Department of Education,71.3,26.6,44.7,null,44.7,2016,2016
2016-09-30,2015,Y,Department of Energy,76.5,4.6,71.9,null,71.9,2016,2016
2016-09-30,2015,Y,Department of Homeland Security,60.2,12.1,48.1,4.1,52.2,2016,2016
2016-09-30,2015,Y,Department of Labor,45.8,null,45.8,null,45.8,2016,2016
2016-09-30,2015,Y,Department of Justice,32.3,1.7,30.6,null,30.6,2016,2016
2016-09-30,2015,Y,Defense Security Cooperation Agency,38.8,null,38.8,null,38.8,2016,2016
2016-09-30,2015,Y,Department of Housing and Urban Development,32.7,1.5,31.2,null,31.2,2016,2016
2016-09-30,2015,Y,Department of State,30.2,4.3,25.9,0.1,26,2016,2016
2016-09-30,2015,Y,National Aeronautics and Space Administration,19.8,0.2,19.6,null,19.6,2016,2016
2016-09-30,2015,Y,Department of the Interior,19.2,2.7,16.5,null,16.5,2016,2016
2016-09-30,2015,Y,U.S. Agency for International Development,12.7,0.1,12.6,null,12.6,2016,2016
2016-09-30,2015,Y,Railroad Retirement Board,16.3,3.4,12.9,null,12.9,2016,2016
2016-09-30,2015,Y,Federal Communications Commission,9.6,0.3,9.3,null,9.3,2016,2016
2016-09-30,2015,Y,Department of Commerce,12.3,3.2,9.1,null,9.1,2016,2016
2016-09-30,2015,Y,Environmental Protection Agency,9.3,0.7,8.6,null,8.6,2016,2016
2016-09-30,2015,Y,National Science Foundation,7,null,7,null,7,2016,2016
2016-09-30,2015,Y,U.S. Postal Service,73.8,67.9,5.9,null,5.9,2016,2016
2016-09-30,2015,Y,Pension Benefit Guaranty Corporation,23.7,8,15.7,null,15.7,2016,2016
2016-09-30,2015,Y,Smithsonian Institution,0.8,null,0.8,null,0.8,2016,2016
2016-09-30,2015,Y,Millennium Challenge Corporation,0.8,null,0.8,null,0.8,2016,2016
2016-09-30,2015,Y,Small Business Administration,-0.5,0.4,-0.9,null,-0.9,2016,2016
2016-09-30,2015,Y,U.S. Nuclear Regulatory Commission,1,0.8,0.2,null,0.2,2016,2016
2016-09-30,2015,Y,General Services Administration,0.3,0.6,-0.3,null,-0.3,2016,2016
2016-09-30,2015,Y,Overseas Private Investment Corporation,-0.1,0.1,-0.2,null,-0.2,2016,2016
2016-09-30,2015,Y,Securities and Exchange Commission,1.5,2,-0.5,null,-0.5,2016,2016
2016-09-30,2015,Y,Farm Credit System Insurance Corporation,null,0.2,-0.2,null,-0.2,2016,2016
2016-09-30,2015,Y,National Credit Union Administration,null,0.3,-0.3,null,-0.3,2016,2016
2016-09-30,2015,Y,Tennessee Valley Authority,9.8,10.9,-1.1,null,-1.1,2016,2016
2016-09-30,2015,Y,Export-Import Bank of the United States,-0.6,1.3,-1.9,null,-1.9,2016,2016
2016-09-30,2015,Y,Office of Personnel Management,104.9,20.3,84.6,17.1,101.7,2016,2016
2016-09-30,2015,Y,Federal Deposit Insurance Corporation,-6.5,8.6,-15.1,null,-15.1,2016,2016
2016-09-30,2015,Y,All other entities,20.8,1.7,19.1,null,19.1,2016,2016
2016-09-30,2015,Y,Total,4248.2,375.6,3872.6,-19.3,3853.3,2016,2016
2015-09-30,2015,N,Department of Health and Human Services,1130.9,101.3,1029.6,-0.1,1029.5,2015,2015
2015-09-30,2015,N,Social Security Administration,945,0.3,944.7,null,944.7,2015,2015
2015-09-30,2015,N,Department of Defense,646.6,45.5,601.1,-27.5,573.6,2015,2015
2015-09-30,2015,N,Interest on Treasury Securities Held by the Public,250.8,null,250.8,null,250.8,2015,2015
2015-09-30,2015,N,Department of Veterans Affairs,186.9,4.8,182.1,-13,169.1,2015,2015
